"Identificador URL";"Nome";"Categorias";"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";"Preço";"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque";"SKU";"Código de barras";"Exibir na loja";"Frete gratis";"Descrição";"Tags";"Título para SEO";"Descrição para SEO";"Marca";"Produto Físico";"MPN (Cód. Exclusivo Modelo Fabricante)";"Sexo";"Faixa etária";"Custo"
"aniversario-flores-do-campo";"Aniversário Flores do Campo";"Arranjos Florais";"";"";"";"";"";"";"109.90";"";"";"";"";"";"";"3704";"";"SIM";"NÃO";"Duráveis e coloridas, esta combinação de flores do campo e rosas formam uma combinação única e charmosa em um vaso de vidro com moldura de madeira. Acompanha cartão de Feliz Aniversário. Dimensões Aproximadas 25 cm Altura x 20 Diâmetro Tam P FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Gostou? Então confira outros modelos na nossa Coleção Aniversário .";"floricultura, arranjos florais";"Aniversário Flores do Campo";"Duráveis e coloridas, esta combinação de flores do campo e rosas formam uma combinação única e charmosa em um vaso de vidro com moldura de madeira. Acompanha ca";"Praça Das Flores";"SIM";"";"";"";""
"arranjo-de-cravos-no-suporte-de-vidro-e-madeira";"Arranjo de Cravos no Suporte de Vidro e Madeira";"Arranjos Florais";"";"";"";"";"";"";"119.90";"";"";"";"";"";"";"3763";"";"SIM";"NÃO";"Suporte de Vidro e Madeira com Cravos Brancos e Vermelhos Dimensões Aproximadas 27 cm Altura x 20 Diâmetro Tam P Gostou? Então confira outros modelos de Cravos .";"floricultura, arranjos florais";"Arranjo de Cravos no Suporte de Vidro e Madeira";"Suporte de Vidro e Madeira com Cravos Brancos e Vermelhos Dimensões Aproximadas 27 cm Altura x 20 Diâmetro Tam P Gostou? Então confira outros modelos de Cravos ";"Praça Das Flores";"SIM";"";"";"";""
"astromelia-no-vaso-de-vidro-luxuoso";"Astromélia no Vaso de Vidro Luxuoso";"Arranjos Florais";"";"";"";"";"";"";"249.90";"";"";"";"";"";"";"4271";"";"SIM";"NÃO";"Se você busca reforçar os laços de amizade e desejar felicidade plena para aquela pessoa querida, o presente ideal é o arranjo com LUXUOSAS ASTROMÉLIAS COLORIDAS NO VASO criado pela PRAÇA DAS FLORES. A nossa astromélia é delicada, resistente e charmosa, sendo também uma incrível sugestão de presente para quem está decorando a nova casa, pois suas cores branca, amarela, vermelha, rosa, entre outras, deixam qualquer ambiente muito mais alegre. Presenteie aquela querida com nosso arranjo de flores, com certeza ela vai adorar. Dimensões Aproximadas: Largura:33cm x Altura:43cm FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Gostou? Então confira outros modelos de Astromélias .";"floricultura, arranjos florais";"Astromélia no Vaso de Vidro Luxuoso";"Se você busca reforçar os laços de amizade e desejar felicidade plena para aquela pessoa querida, o presente ideal é o arranjo com LUXUOSAS ASTROMÉLIAS COLORIDA";"Praça Das Flores";"SIM";"";"";"";""
"astromelias-coloridas-em-vaso-de-vidro";"Astromélias Coloridas em Vaso de Vidro";"Arranjos Florais";"";"";"";"";"";"";"129.90";"";"";"";"";"";"";"3192";"";"SIM";"NÃO";"Lindo arranjo com astromélias coloridas em um vaso de vidro. Alegre e colorido, é ideal para presentear aqueles que queremos tão bem.... As cores das flores podem variar de acordo com a disponibilidade em estoque e época da estação de cultivo. Dimensões: 25 cm Altura x 20 cm Largura Gostou? Então confira outros modelos de Astromélias e surpreenda com um presente belíssimo.";"floricultura, arranjos florais";"Astromélias Coloridas em Vaso de Vidro";"Lindo arranjo com astromélias coloridas em um vaso de vidro. Alegre e colorido, é ideal para presentear aqueles que queremos tão bem.... As cores das flores pod";"Praça Das Flores";"SIM";"";"";"";""
"colecao-exclusiva-flores-silvestres";"Coleção Exclusiva Flores Silvestres";"Arranjos Florais";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"4049";"";"SIM";"NÃO";"Caixa Box com flores silvestres da estação. Quer demonstrar o seu amor de forma encantadora? Um delicado arranjo de flores do campo. É uma graça! Ideal para qualquer ocasião, esse lindo arranjo pode ser lembrança de aniversário de casamento, dia dos namorados, dia das mães ou qualquer outra data especial. Dimensões Aproximadas 28 de altura por 20 de largura Caixa Embalagem Exclusiva Praça Das Flores FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Gostou? Então confira mais modelos de Arranjos Florais .";"floricultura, arranjos florais";"Coleção Exclusiva Flores Silvestres";"Caixa Box com flores silvestres da estação. Quer demonstrar o seu amor de forma encantadora? Um delicado arranjo de flores do campo. É uma graça! Ideal para qua";"Praça Das Flores";"SIM";"";"";"";""
"flores-silvestres-e-chocolate";"Flores Silvestres e Chocolate";"Arranjos Florais";"";"";"";"";"";"";"219.90";"";"";"";"";"";"";"4057";"";"SIM";"NÃO";"Cesta Rígida com mix de flores tropicais da época, acompanha caixa de Ferrero Roche com 8 unidades e plaquinha de chocolate do frases que poderão variar de acordo com a disponibilidade em estoque. Embalagem exclusiva para presente Praça Das Flores Medidas aproximadas da caixa de embalagem 32,5L x 30 A FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Gostou? Então confira outros modelos de Flores e Chocolates . Praça Das Flores - Criatividade e ousadia na confecção de arranjos florais.";"floricultura, arranjos florais";"Flores Silvestres e Chocolate";"Cesta Rígida com mix de flores tropicais da época, acompanha caixa de Ferrero Roche com 8 unidades e plaquinha de chocolate do frases que poderão variar de acor";"Praça Das Flores";"SIM";"";"";"";""
"vaso-de-vidro-com-astromelias-coloridas";"Vaso de Vidro Com Astromélias Coloridas";"Arranjos Florais";"";"";"";"";"";"";"129.90";"";"";"";"";"";"";"3197";"";"SIM";"NÃO";"Lindo Vaso de vidro com astromélias coloridas. Acabamento em laço de fita. Dimensões: 25 cm Altura x 20 cm Largura. As cores das flores podem variar de acordo com a disponibilidade em estoque e época da estação de cultivo. Gostou? Então confira outros modelos de Arranjos Florais e surpreenda com um presente belíssimo.";"floricultura, arranjos florais";"Vaso de Vidro Com Astromélias Coloridas";"Lindo Vaso de vidro com astromélias coloridas. Acabamento em laço de fita. Dimensões: 25 cm Altura x 20 cm Largura. As cores das flores podem variar de acordo c";"Praça Das Flores";"SIM";"";"";"";""
"vaso-especial-astromelia";"Vaso Especial Astromelia";"Arranjos Florais";"";"";"";"";"";"";"129.90";"";"";"";"";"";"";"4716";"";"SIM";"NÃO";"Graciosa e Resistente: Astromélia é uma Ótima Opção para Decorar e Presentear Essa deslumbrante espécie de flor, encanta ambientes com suas cores variadas e seu perfume! É sempre um presente especial para qualquer ocasião. Vaso de vidro embalado para presente com laço de fita Embalagem exclusiva Praça Das Flores FLores Dimensões Aproximadas: 25 cm Altura x 20 cm Largura. FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Gostou? Então confira outros modelos de Flores no Vaso de Vidro .";"floricultura, arranjos florais";"Vaso Especial Astromelia";"Graciosa e Resistente: Astromélia é uma Ótima Opção para Decorar e Presentear Essa deslumbrante espécie de flor, encanta ambientes com suas cores variadas e seu";"Praça Das Flores";"SIM";"";"";"";""
"alegre-buque-com-12-rosas-coloridas";"Alegre Buquê com 12 Rosas Coloridas";"Buques";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"4107";"";"SIM";"NÃO";"Floricultura Praça Das Flores: Lindo buquê confeccionado com 12 rosas coloridas. Obs: Em algumas ocasiões as rosas poderão sofrer alterações de cores. Dimensões aproximadas 35cm A Gostou? Então confira outros lindos modelos de Buquês de Rosas Nacionais .";"floricultura, buques";"Alegre Buquê com 12 Rosas Coloridas";"Floricultura Praça Das Flores: Lindo buquê confeccionado com 12 rosas coloridas. Obs: Em algumas ocasiões as rosas poderão sofrer alterações de cores. Dimensões";"Praça Das Flores";"SIM";"";"";"";""
"alegre-e-colorido-buque-com-12-rosas";"Alegre e Colorido Buquê com 12 Rosas";"Buques";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"3082";"";"SIM";"NÃO";"Alegre e colorido buquê com 12 rosas coloridas Embalado no papel celofane FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Gostou? Então confira outros modelos de Buquês de Rosas Nacionais e surpreenda com um presente belíssimo.";"floricultura, buques";"Alegre e Colorido Buquê com 12 Rosas";"Alegre e colorido buquê com 12 rosas coloridas Embalado no papel celofane FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBIL";"Praça Das Flores";"SIM";"";"";"";""
